"Index","btc_return","btc_ml_model_position","btc_ml_model_gross","btc_ml_model_turnover","btc_ml_model_net_10bp","btc_sma_inv_vol_agg_position","btc_sma_inv_vol_agg_gross","btc_sma_inv_vol_agg_net","btc_sma_inv_vol_agg_turnover"
"2024-01-01 23:59:59",0.0450049971327267,1,0.0450049971327267,0,0.0450049971327267,0.197472239351977,0.00888723756582883,0.008885924982964,0.00131258286482916
"2024-01-02 23:59:59",0.0179010104580057,1,0.0179010104580057,0,0.0179010104580057,1,0.0179010104580057,0.0170984826973577,0.802527760648023
"2024-01-03 23:59:59",-0.0469281511295,1,-0.0469281511295,0,-0.0469281511295,1,-0.0469281511295,-0.0469281511295,0
"2024-01-04 23:59:59",0.0310805778761809,1,0.0310805778761809,0,0.0310805778761809,0.19772671504437,0.00614546056513797,0.00534318728018234,0.80227328495563
"2024-01-05 23:59:59",-0.000389997762254457,1,-0.000389997762254457,0,-0.000389997762254457,1,-0.000389997762254457,-0.00119227104721009,0.80227328495563
"2024-01-06 23:59:59",-0.0039285996927495,1,-0.0039285996927495,0,-0.0039285996927495,1,-0.0039285996927495,-0.0039285996927495,2.22044604925031e-16
"2024-01-07 23:59:59",-0.00104791336685928,1,-0.00104791336685928,0,-0.00104791336685928,1,-0.00104791336685928,-0.00104791336685928,0
"2024-01-08 23:59:59",0.0688937575279691,1,0.0688937575279691,0,0.0688937575279691,0.590909603922199,0.0407099829735642,0.0403008925774864,0.409090396077801
"2024-01-09 23:59:59",-0.0176870993219357,1,-0.0176870993219357,0,-0.0176870993219357,1,-0.0176870993219357,-0.0180961897180135,0.409090396077801
"2024-01-10 23:59:59",0.0105776243845348,1,0.0105776243845348,0,0.0105776243845348,1,0.0105776243845348,0.0105776243845348,2.22044604925031e-16
"2024-01-11 23:59:59",-0.00555878351657335,1,-0.00555878351657335,0,-0.00555878351657335,1,-0.00555878351657335,-0.00555878351657335,2.22044604925031e-16
"2024-01-12 23:59:59",-0.0758146640660855,1,-0.0758146640660855,0,-0.0758146640660855,1,-0.0758146640660855,-0.0758146640660855,2.22044604925031e-16
"2024-01-13 23:59:59",-0.00025166090786366,1,-0.00025166090786366,0,-0.00025166090786366,0.187103448456121,-4.70866237028889e-05,-0.000859983175246768,0.812896551543879
"2024-01-14 23:59:59",-0.0244177034820788,1,-0.0244177034820788,0,-0.0244177034820788,0.186088668475689,-0.00454385792821425,-0.00454487270819468,0.00101477998043165
"2024-01-15 23:59:59",0.017123492614197,1,0.017123492614197,0,0.017123492614197,0.18766187468319,0.00321342672510396,0.00321185351889646,0.0015732062075004
"2024-01-16 23:59:59",0.0151246001662679,1,0.0151246001662679,0,0.0151246001662679,0.190592804104439,0.00288263995664747,0.00287970902722622,0.00293092942124915
"2024-01-17 23:59:59",-0.00955374649145813,1,-0.00955374649145813,0,-0.00955374649145813,0.190622203070908,-0.0018211562037827,-0.00182118560274917,2.9398966469113e-05
"2024-01-18 23:59:59",-0.0346397421508883,1,-0.0346397421508883,0,-0.0346397421508883,0.190804487373605,-0.0066094182438541,-0.0066096005281568,0.000182284302697289
"2024-01-19 23:59:59",0.00863623908614564,1,0.00863623908614564,0,0.00863623908614564,0.192103737688489,0.00165905380802,0.00165775455770511,0.00129925031488384
"2024-01-20 23:59:59",0.00113357222904975,1,0.00113357222904975,0,0.00113357222904975,0.191780920212221,0.000217397525214179,0.000217074707737911,0.000322817476268278
"2024-01-21 23:59:59",-0.00287530637795319,1,-0.00287530637795319,0,-0.00287530637795319,0.194603138889977,-0.00055954364642006,-0.000562365865097816,0.00282221867775584
"2024-01-22 23:59:59",-0.0490642977009245,1,-0.0490642977009245,0,-0.0490642977009245,0.195003745501822,-0.00956772182209673,-0.00956812242870857,0.000400606611845933
"2024-01-23 23:59:59",0.00855998091105437,1,0.00855998091105437,0,0.00855998091105437,-0.202705346340754,-0.00173515389524552,-0.0021328629870881,0.397709091842577
"2024-01-24 23:59:59",0.00581048865721856,1,0.00581048865721856,0,0.00581048865721856,-0.203009464019032,-0.00117958418799061,-0.00117988830566888,0.000304117678277815
"2024-01-25 23:59:59",-0.00357474999844931,1,-0.00357474999844931,0,-0.00357474999844931,-0.203070019979979,0.000725924553608533,0.000725863997647586,6.05559609471729e-05
"2024-01-26 23:59:59",0.0471546591179017,1,0.0471546591179017,0,0.0471546591179017,-0.202812230515497,-0.00956354159489957,-0.00956379938436405,0.000257789464482239
"2024-01-27 23:59:59",0.00725026734573175,1,0.00725026734573175,0,0.00725026734573175,0.602596149880182,0.00436898318813996,0.00356357480774428,0.805408380395679
"2024-01-28 23:59:59",-0.00200526748610164,-1,0.00200526748610164,2,5.26748610163615e-06,0.602287747938477,-0.00120774803821841,-0.00120805644016011,0.000308401941705339
"2024-01-29 23:59:59",0.0297997680923177,-1,-0.0297997680923177,0,-0.0297997680923177,0.60229539743856,0.0179482631667394,0.0179482555172393,7.64950008336207e-06
"2024-01-30 23:59:59",-0.00775353963249747,1,-0.00775353963249747,2,-0.00975353963249747,1,-0.00775353963249748,-0.00815124423505892,0.39770460256144
"2024-01-31 23:59:59",-0.00861418749941989,1,-0.00861418749941989,0,-0.00861418749941989,1,-0.00861418749941989,-0.00861418749941989,2.22044604925031e-16
"2024-02-01 23:59:59",0.0115814472671965,1,0.0115814472671965,0,0.0115814472671965,0.601880374238203,0.00697064581540022,0.00657252618963842,0.398119625761797
"2024-02-02 23:59:59",0.00255560888506601,1,0.00255560888506601,0,0.00255560888506601,1,0.00255560888506601,0.00215748925930421,0.398119625761797
"2024-02-03 23:59:59",-0.00448317587190317,1,-0.00448317587190317,0,-0.00448317587190317,1,-0.00448317587190317,-0.00448317587190317,0
"2024-02-04 23:59:59",-0.0095055902544452,1,-0.0095055902544452,0,-0.0095055902544452,1,-0.0095055902544452,-0.0095055902544452,0
"2024-02-05 23:59:59",0.00176319424181459,1,0.00176319424181459,0,0.00176319424181459,0.185207367190237,0.000326556563371466,-0.000488236069438298,0.814792632809763
"2024-02-06 23:59:59",0.00998638388554518,1,0.00998638388554518,0,0.00998638388554518,0.185759018453064,0.00185506086847437,0.00185450921721154,0.000551651262827357
"2024-02-07 23:59:59",0.0286308920051324,1,0.0286308920051324,0,0.0286308920051324,1,0.0286308920051324,0.0278166510235854,0.814240981546936
"2024-02-08 23:59:59",0.0221882124187691,1,0.0221882124187691,0,0.0221882124187691,1,0.0221882124187691,0.0221882124187691,1.11022302462516e-16
"2024-02-09 23:59:59",0.0407410564597113,1,0.0407410564597113,0,0.0407410564597113,1,0.0407410564597113,0.0407410564597113,1.11022302462516e-16
"2024-02-10 23:59:59",0.013236778649647,1,0.013236778649647,0,0.013236778649647,1,0.013236778649647,0.013236778649647,3.33066907387547e-16
"2024-02-11 23:59:59",0.0109404523445555,1,0.0109404523445555,0,0.0109404523445555,1,0.0109404523445555,0.0109404523445555,2.22044604925031e-16
"2024-02-12 23:59:59",0.034462051960823,1,0.034462051960823,0,0.034462051960823,1,0.034462051960823,0.034462051960823,0
"2024-02-13 23:59:59",-0.00431927340385396,1,-0.00431927340385396,0,-0.00431927340385396,1,-0.00431927340385396,-0.00431927340385396,2.22044604925031e-16
"2024-02-14 23:59:59",0.0419009394143544,1,0.0419009394143544,0,0.0419009394143544,1,0.0419009394143544,0.0419009394143544,2.22044604925031e-16
"2024-02-15 23:59:59",0.00215835330043901,1,0.00215835330043901,0,0.00215835330043901,1,0.00215835330043901,0.00215835330043901,0
"2024-02-16 23:59:59",0.00426747542283978,1,0.00426747542283978,0,0.00426747542283978,1,0.00426747542283978,0.00426747542283978,0
"2024-02-17 23:59:59",-0.00953231453100434,1,-0.00953231453100434,0,-0.00953231453100434,1,-0.00953231453100434,-0.00953231453100434,0
"2024-02-18 23:59:59",0.00889514985820083,1,0.00889514985820083,0,0.00889514985820083,1,0.00889514985820083,0.00889514985820083,0
