"Index","eth_return","eth_ml_model_position","eth_ml_model_gross","eth_ml_model_turnover","eth_ml_model_net_10bp","eth_sma_inv_vol_agg_position","eth_sma_inv_vol_agg_gross","eth_sma_inv_vol_agg_net","eth_sma_inv_vol_agg_turnover"
"2024-01-01 23:59:59",0.0310574316314218,1,0.0310574316314218,0,0.0310574316314218,0.596720441224607,0.0185326043064051,0.0185315822114788,0.00102209492633765
"2024-01-02 23:59:59",0.00149151565623473,1,0.00149151565623473,0,0.00149151565623473,1,0.00149151565623473,0.00108823609745934,0.403279558775393
"2024-01-03 23:59:59",-0.0615809223828574,1,-0.0615809223828574,0,-0.0615809223828574,1,-0.0615809223828574,-0.0615809223828574,0
"2024-01-04 23:59:59",0.0263602750136731,1,0.0263602750136731,0,0.0263602750136731,0.195369592119006,0.00514999617756613,0.00434536576968514,0.804630407880994
"2024-01-05 23:59:59",-0.000172300453660568,1,-0.000172300453660568,0,-0.000172300453660568,0.194667205949146,-3.3541247897873e-05,-3.42436340677326e-05,0.000702386169859515
"2024-01-06 23:59:59",-0.0119112906965158,1,-0.0119112906965158,0,-0.0119112906965158,0.194501723026491,-0.00231676656394172,-0.00231693204686438,0.000165482922655613
"2024-01-07 23:59:59",-0.00836840417130347,1,-0.00836840417130347,0,-0.00836840417130347,0.194758213105519,-0.00162981544294784,-0.00163007193302687,0.000256490079028671
"2024-01-08 23:59:59",0.0495607306613655,1,0.0495607306613655,0,0.0495607306613655,0.194670539038076,0.00964801415296892,0.00964792647890147,8.76740674432552e-05
"2024-01-09 23:59:59",0.00505539948519229,1,0.00505539948519229,0,0.00505539948519229,1,0.00505539948519229,0.00425007002423037,0.805329460961924
"2024-01-10 23:59:59",0.101191411395961,1,0.101191411395961,0,0.101191411395961,1,0.101191411395961,0.101191411395961,1.11022302462516e-16
"2024-01-11 23:59:59",0.0145290647657079,1,0.0145290647657079,0,0.0145290647657079,1,0.0145290647657079,0.0145290647657079,1.11022302462516e-16
"2024-01-12 23:59:59",-0.0363254834939933,1,-0.0363254834939933,0,-0.0363254834939933,1,-0.0363254834939933,-0.0363254834939933,2.22044604925031e-16
"2024-01-13 23:59:59",0.020653032366927,1,0.020653032366927,0,0.020653032366927,1,0.020653032366927,0.020653032366927,2.22044604925031e-16
