"id","slug","name","symbol","timestamp","ref_cur_id","ref_cur_name","time_open","time_close","time_high","time_low","open","high","low","close","volume","market_cap","circulating_supply"
1,"bitcoin","Bitcoin","BTC",2015-01-01 23:59:59,"2781","USD",2015-01-01,2015-01-01 23:59:59,2015-01-01 00:04:00,2015-01-01 23:44:00,320.4349975586,320.4349975586,314.0029907227,314.2489929199,8036550,4297535768.18,13675575
1,"bitcoin","Bitcoin","BTC",2015-01-02 23:59:59,"2781","USD",2015-01-02,2015-01-02 23:59:59,2015-01-02 20:19:01,2015-01-02 01:04:01,314.0790100098,315.8389892578,313.5650024414,315.0320129395,7860650,4309551126.2,13679725
1,"bitcoin","Bitcoin","BTC",2015-01-03 23:59:59,"2781","USD",2015-01-03,2015-01-03 23:59:59,2015-01-03 00:24:01,2015-01-03 23:59:00,314.8460083008,315.1499938965,281.0820007324,281.0820007324,33054400,3846269871.6,13683800
1,"bitcoin","Bitcoin","BTC",2015-01-04 23:59:59,"2781","USD",2015-01-04,2015-01-04 23:59:59,2015-01-04 10:14:01,2015-01-04 15:29:01,281.1459960938,287.2300109863,257.6119995117,264.1950073242,55629100,3616320974.62,13688075
1,"bitcoin","Bitcoin","BTC",2015-01-05 23:59:59,"2781","USD",2015-01-05,2015-01-05 23:59:59,2015-01-05 08:54:00,2015-01-05 00:04:01,265.0840148926,278.341003418,265.0840148926,274.4739990234,43962800,3758098008,13692000
1,"bitcoin","Bitcoin","BTC",2015-01-06 23:59:59,"2781","USD",2015-01-06,2015-01-06 23:59:59,2015-01-06 22:14:00,2015-01-06 10:19:01,274.6109924316,287.5530090332,272.6960144043,286.1889953613,23245700,3919623079.83,13695925
1,"bitcoin","Bitcoin","BTC",2015-01-07 23:59:59,"2781","USD",2015-01-07,2015-01-07 23:59:59,2015-01-07 19:14:01,2015-01-07 01:04:00,286.0769958496,298.7539978027,283.0790100098,294.3370056152,24866800,4032255014.65,13699450
1,"bitcoin","Bitcoin","BTC",2015-01-08 23:59:59,"2781","USD",2015-01-08,2015-01-08 23:59:59,2015-01-08 00:04:01,2015-01-08 14:04:01,294.1350097656,294.1350097656,282.174987793,283.3489990234,19982500,3882766765.62,13703125
1,"bitcoin","Bitcoin","BTC",2015-01-09 23:59:59,"2781","USD",2015-01-09,2015-01-09 23:59:59,2015-01-09 20:09:01,2015-01-09 02:54:00,282.3829956055,291.1140136719,280.532989502,290.407989502,18718600,3980426430.6,18458075
1,"bitcoin","Bitcoin","BTC",2015-01-10 23:59:59,"2781","USD",2015-01-10,2015-01-10 23:59:59,2015-01-10 04:04:01,2015-01-10 14:24:01,287.3030090332,288.1270141602,273.966003418,274.7959899902,15264300,3767535598.8,13710300
1,"bitcoin","Bitcoin","BTC",2015-01-11 23:59:59,"2781","USD",2015-01-11,2015-01-11 23:59:59,2015-01-11 02:54:01,2015-01-11 20:39:01,274.608001709,279.6380004883,265.0390014648,265.6600036621,18200800,3643307730.5,13714175
1,"bitcoin","Bitcoin","BTC",2015-01-12 23:59:59,"2781","USD",2015-01-12,2015-01-12 23:59:59,2015-01-12 14:54:01,2015-01-12 10:34:01,266.1459960938,272.2030029297,265.200012207,267.7959899902,18880300,3673551884.1,13717725
1,"bitcoin","Bitcoin","BTC",2015-01-13 23:59:59,"2781","USD",2015-01-13,2015-01-13 23:59:59,2015-01-13 00:19:01,2015-01-13 23:39:01,267.3940124512,268.2770080566,219.9060058594,225.8609924316,72843904,3099004901.85,13720850
1,"bitcoin","Bitcoin","BTC",2015-01-14 23:59:59,"2781","USD",2015-01-14,2015-01-14 23:59:59,2015-01-14 00:04:01,2015-01-14 22:54:01,223.8939971924,223.8939971924,171.5099945068,178.1029968262,97638704,2444379076.08,13724525
1,"bitcoin","Bitcoin","BTC",2015-01-15 23:59:59,"2781","USD",2015-01-15,2015-01-15 23:59:59,2015-01-15 13:54:01,2015-01-15 00:04:01,176.8970031738,229.0670013428,176.8970031738,209.8439941406,81773504,2880801385.2,13728300
1,"bitcoin","Bitcoin","BTC",2015-01-16 23:59:59,"2781","USD",2015-01-16,2015-01-16 23:59:59,2015-01-16 11:04:01,2015-01-16 17:49:01,209.0700073242,221.591003418,199.7709960938,208.0970001221,38421000,2857541182.18,13731775
1,"bitcoin","Bitcoin","BTC",2015-01-17 23:59:59,"2781","USD",2015-01-17,2015-01-17 23:59:59,2015-01-17 03:19:01,2015-01-17 09:44:00,207.8339996338,211.7310028076,194.875,199.2599945068,23469700,2736875952,13735200
1,"bitcoin","Bitcoin","BTC",2015-01-18 23:59:59,"2781","USD",2015-01-18,2015-01-18 23:59:59,2015-01-18 12:49:00,2015-01-18 07:59:01,200.0500030518,218.6950073242,194.5059967041,210.3390045166,30085100,2889858037.95,13739050
1,"bitcoin","Bitcoin","BTC",2015-01-19 23:59:59,"2781","USD",2015-01-19,2015-01-19 23:59:59,2015-01-19 21:49:01,2015-01-19 07:39:01,211.470993042,216.7279968262,207.3179931641,214.8609924316,18658300,2952759521.65,13742650
1,"bitcoin","Bitcoin","BTC",2015-01-20 23:59:59,"2781","USD",2015-01-20,2015-01-20 23:59:59,2015-01-20 02:44:00,2015-01-20 13:39:01,212.9069976807,215.2409973145,205.1529998779,211.3150024414,24051100,2904651464,13745600
1,"bitcoin","Bitcoin","BTC",2015-01-21 23:59:59,"2781","USD",2015-01-21,2015-01-21 23:59:59,2015-01-21 22:59:01,2015-01-21 13:04:01,211.3780059814,227.7879943848,211.2120056152,226.8970031738,29924600,3119680594.53,13749325
1,"bitcoin","Bitcoin","BTC",2015-01-22 23:59:59,"2781","USD",2015-01-22,2015-01-22 23:59:59,2015-01-22 02:14:01,2015-01-22 00:19:01,227.3220062256,237.0189971924,226.4340057373,233.4060058594,33544600,3209962696.2,13752700
1,"bitcoin","Bitcoin","BTC",2015-01-23 23:59:59,"2781","USD",2015-01-23,2015-01-23 23:59:59,2015-01-23 20:44:01,2015-01-23 03:04:01,233.516998291,234.8450012207,225.1959991455,232.8789978027,24621700,3203436948.2,13755800
